"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.","Município","Ano"
"2108207","Pedreiras (MA)","787721"
"2108256","Pedro do Rosário (MA)","157904"
"2108306","Penalva (MA)","253791"
"2108405","Peri Mirim (MA)","95959"
"2108454","Peritoró (MA)","230472"
"2108504","Pindaré-Mirim (MA)","296247"
"2108603","Pinheiro (MA)","1040054"
"2108702","Pio XII (MA)","191368"
"2108801","Pirapemas (MA)","130801"
"2108900","Poção de Pedras (MA)","163110"
"2109007","Porto Franco (MA)","1026129"
"2109056","Porto Rico do Maranhão (MA)","45867"
"2109106","Presidente Dutra (MA)","755768"
"2109205","Presidente Juscelino (MA)","84499"
"2109239","Presidente Médici (MA)","60695"
"2109270","Presidente Sarney (MA)","165015"
"2109304","Presidente Vargas (MA)","76191"
"2109403","Primeira Cruz (MA)","89108"
"2109452","Raposa (MA)","286199"
"2109502","Riachão (MA)","673241"
"2109551","Ribamar Fiquene (MA)","124208"
"2109601","Rosário (MA)","443240"
"2109700","Sambaíba (MA)","474716"
"2109759","Santa Filomena do Maranhão (MA)","60216"
"2109809","Santa Helena (MA)","358032"
"2109908","Santa Inês (MA)","1466090"
"2110005","Santa Luzia (MA)","743553"
"2110039","Santa Luzia do Paruá (MA)","253366"
"2110104","Santa Quitéria do Maranhão (MA)","218496"
"2110203","Santa Rita (MA)","354687"
"2110237","Santana do Maranhão (MA)","74107"
